,chainId,dexId,url,pairAddress,baseToken_address,baseToken_name,baseToken_symbol,quoteToken_symbol,priceNative,priceUsd,txns_m5_buys,txns_m5_sells,txns_h1_buys,txns_h1_sells,txns_h6_buys,txns_h6_sells,txns_h24_buys,txns_h24_sells,volume_m5,volume_h1,volume_h6,volume_h24,priceChange_m5,priceChange_h1,priceChange_h6,priceChange_h24,liquidity_usd,liquidity_base,liquidity_quote
0,bsc,pancakeswap,https://dexscreener.com/bsc/0xd99c7f6c65857ac913a8f880a4cb84032ab2fc5b,0xd99c7F6C65857AC913a8f880A4cb84032AB2FC5b,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,Wrapped BNB,WBNB,USDC,257.6776,257.67,6,0,41,46,332,343,2188,2183,172.62,13897.54,190772.42,1995502.71,0.51,0.02,-0.48,0.85,4231048.416301682,8230.15,2115524.0
1,bsc,biswap,https://dexscreener.com/bsc/0x06cd679121ec37b0a2fd673d4976b09d81791856,0x06Cd679121Ec37B0A2FD673D4976B09d81791856,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,Wrapped BNB,WBNB,USDC,257.7725,257.77,0,0,5,3,13,16,78,111,0.0,4480.09,5824.72,28621.02,0.0,0.33,-0.26,0.98,627346.2317983776,1219.27,313673.0
2,bsc,0x1e895bFe59E3A5103e8B7dA3897d1F2391476f3c,https://dexscreener.com/bsc/0x5f5d385397095aaed4daffe336f9815ac598dff5,0x5f5d385397095AaED4daffe336F9815AC598DFf5,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,Wrapped BNB,WBNB,USDC,252.2478,252.24,0,0,15,4,64,48,272,200,0.0,900.63,4729.87,16298.54,0.0,-1.96,-1.4,0.08,408238.5245055182,801.79,204119.0
3,bsc,babyswap,https://dexscreener.com/bsc/0xbf83ca11abc62447226f6b3566918d3594ba3803,0xBF83cA11aBC62447226F6b3566918d3594bA3803,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,Wrapped BNB,WBNB,USDC,256.8109,256.81,0,0,0,1,4,6,38,38,0.0,27.01,764.08,12204.53,0.0,-0.07,-0.37,1.01,477128.1303241114,927.2,238564.0
4,bsc,sushiswap,https://dexscreener.com/bsc/0xc7632b7b2d768bbb30a404e13e1de48d1439ec21,0xc7632B7b2d768bbb30a404E13E1dE48d1439ec21,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,Wrapped BNB,WBNB,USDC,257.5770,257.57,0,0,2,0,7,6,60,56,0.0,6.36,310.4,4271.07,0.0,0.08,-0.34,0.9,35677.33386158854,69.46,17839.0
5,polygon,quickswap,https://dexscreener.com/polygon/0x56ea2342232ce09bc204e5f7d3641df4303bbd8a,0x56Ea2342232ce09Bc204e5f7d3641Df4303BbD8a,0xeCDCB5B88F8e3C15f95c720C51c71c9E2080525d,Wrapped BNB (Wormhole),WBNB,USDC,256.9422,256.94,0,0,4,3,24,15,97,82,0.0,30.16,505.16,2516.09,0.0,-1.01,-0.03,0.27,4279.092002,8.31,2139.55
6,bsc,jetswap,https://dexscreener.com/bsc/0x4b56ee85949164519bba2e454269de156930a4c8,0x4b56EE85949164519bBa2e454269dE156930a4C8,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,Wrapped BNB,WBNB,USDC,257.1953,257.19,0,1,0,2,1,2,11,9,2.57,5.12,8.57,96.06,-0.22,-0.78,-0.5,1.24,4823.159743145665,9.36,2411.58
7,bsc,bakeryswap,https://dexscreener.com/bsc/0xa439f6415a9dcab607844732a675f76dc5a0f9b9,0xa439f6415A9DCAb607844732a675f76Dc5A0F9B9,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,Wrapped BNB,WBNB,USDC,253.7350,253.73,0,0,0,0,0,0,6,8,0.0,0.0,0.0,39.54,0.0,0.0,0.0,-1.8,615.902193705585,1.2,307.95
8,bsc,pancakeswap,https://dexscreener.com/bsc/0x4cd6e8dd2e837999c12744c66bf86d819d932458,0x4cD6E8DD2E837999C12744C66bf86D819d932458,0xF14D3692B0055Db9Ca4c04065165d59B87E763f1,MetaBUSDCoin,MBC,WBNB,0.000000000008909,0.00000000229,0,0,0,0,0,0,0,2,0.0,0.0,0.0,31.88,0.0,0.0,0.0,0.75,190093.88859160113,41390379780911.0,369.65
9,bsc,padswap,https://dexscreener.com/bsc/0xce71f919daae7a2d0708f84c657af46f57cbde2b,0xCe71f919DaaE7A2D0708F84C657aF46F57cbdE2b,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,Wrapped BNB,WBNB,USDC,257.9584,257.95,0,0,0,0,0,0,3,2,0.0,0.0,0.0,29.33,0.0,0.0,0.0,1.05,2709.5086091178714,5.28,1354.75
10,bsc,sphynx,https://dexscreener.com/bsc/0x10793a5a4b6981f61ee2eb488d37a6ecd893b8e3,0x10793A5a4b6981F61eE2EB488d37a6eCD893B8e3,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,Wrapped BNB,WBNB,USDC,257.6266,257.62,0,0,1,1,1,1,2,2,0.0,8.07,8.07,29.17,0.0,-0.05,-0.05,0.34,5498.7784855654645,10.67,2749.39
11,bsc,0xF3E9F12Df29cCd921C0143B98D32a26202f78D80,https://dexscreener.com/bsc/0xbfaa317c6fa032bfdd39960650f28cf0e3277811,0xBfAA317C6Fa032bFdd39960650f28CF0E3277811,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,Wrapped BNB,WBNB,USDC,256.7588,256.75,0,0,0,0,0,0,1,0,0.0,0.0,0.0,21.7,0.0,0.0,0.0,0.0,4894.401242731611,9.48,2447.2
12,bsc,elkfinance,https://dexscreener.com/bsc/0xba6f62ad53e3883fabae0c10e2e0428e1328a96f,0xbA6f62Ad53E3883fabAE0c10E2E0428e1328A96f,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,Wrapped BNB,WBNB,USDC,258.0190,258.01,0,0,0,0,0,0,3,2,0.0,0.0,0.0,16.35,0.0,0.0,0.0,0.34,1143.4302062240508,2.21,571.72
13,bsc,0x542b6524aBF0Bd47Dc191504E38400Ec14D0290C,https://dexscreener.com/bsc/0xba906d5da0d32cb3219b4f7c67bcf047e111ea48,0xbA906d5da0D32cb3219B4F7C67bcf047e111ea48,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,Wrapped BNB,WBNB,USDC,257.7277,257.72,0,0,0,0,0,1,1,1,0.0,0.0,5.24,15.77,0.0,0.0,-0.22,-0.22,2727.5226984709766,5.3,1363.76
14,bsc,dinosaureggs,https://dexscreener.com/bsc/0x15c9f2368ba4e1031ab0cd1d4d0d0fc11033fc07,0x15C9f2368bA4e1031Ab0Cd1D4D0d0fc11033fc07,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,Wrapped BNB,WBNB,USDC,257.8355,257.83,0,0,0,0,0,0,1,1,0.0,0.0,0.0,15.5,0.0,0.0,0.0,-0.4,2342.990345975046,4.56,1171.5
15,bsc,0x12b577130FFa2e8Ad15D928C512F2DD2b3192d53,https://dexscreener.com/bsc/0x7d3fc9ced31a3ef4a8877ac014a6cd6f37fca209,0x7D3fc9ced31a3Ef4a8877aC014a6Cd6F37FCa209,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,Wrapped BNB,WBNB,USDC,256.1189,256.11,0,0,0,0,0,0,1,0,0.0,0.0,0.0,14.95,0.0,0.0,0.0,0.0,2017.9796950990872,3.9,1008.99
16,bsc,wault,https://dexscreener.com/bsc/0xa34337690711ce3f265f56ebd545dda00d7c0405,0xA34337690711CE3F265f56Ebd545Dda00d7C0405,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,Wrapped BNB,WBNB,USDC,259.5142,259.51,0,0,0,0,0,0,3,2,0.0,0.0,0.0,12.98,0.0,0.0,0.0,0.49,649.477226953564,1.26,324.74
17,bsc,apeswap,https://dexscreener.com/bsc/0xd00302278693e5084e2b06a996d1d14ae3467fe6,0xd00302278693E5084e2B06A996d1D14aE3467fE6,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,Wrapped BNB,WBNB,USDC,249.1286,249.12,0,0,2,2,3,5,6,10,0.0,7.49,8.44,9.59,0.0,-3.74,-3.0,-2.32,104.79058842889364,0.2,52.4
18,bsc,0xDf97982Bf70be91df4ACD3d511c551F06a0D19eC,https://dexscreener.com/bsc/0x3eadb5cb2cd2ac3887c81fa88bc46d4106cadf90,0x3EaDb5cb2cD2AC3887c81fA88BC46D4106cADf90,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,Wrapped BNB,WBNB,USDC,257.8187,257.81,0,0,0,0,0,0,1,0,0.0,0.0,0.0,7.18,0.0,0.0,0.0,0.0,1505.0255676627755,2.9,752.51
19,bsc,autoshark,https://dexscreener.com/bsc/0x84d455d0b1ffb0b488cbd1f4b098f076e5628065,0x84d455d0b1FFb0b488CBD1f4b098f076e5628065,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,Wrapped BNB,WBNB,USDC,256.4181,256.41,0,0,0,0,0,0,1,1,0.0,0.0,0.0,6.62,0.0,0.0,0.0,0.68,1296.5410116207686,2.52,648.27
